               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,             0.03512,            0.029942,                   0,             0.91726,              0.9019,             0.93312,             0.40949,            0.041521,            0.039651,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,              0.0382,            0.031756,                   0,              0.9152,             0.88814,              0.9192,             0.40301,            0.042758,            0.040217,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.037458,             0.03016,                   0,             0.91056,             0.85085,             0.90504,             0.38979,            0.040952,            0.042269,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.040619,            0.029109,                   0,             0.92264,             0.88136,             0.93552,             0.40377,            0.043909,            0.039625,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.043894,            0.032664,                   0,              0.9168,             0.90508,             0.94679,             0.38574,            0.042983,             0.03941,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,             0.03752,            0.031859,                   0,             0.90153,             0.93103,             0.94567,              0.3964,             0.04091,             0.03892,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.039291,            0.031381,                   0,             0.92482,             0.90847,             0.93934,             0.39225,            0.040984,            0.039539,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.038537,            0.030287,                   0,             0.89556,             0.93017,             0.93528,             0.40649,            0.040244,            0.038921,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.036301,            0.029556,                   0,             0.90883,             0.88136,             0.91771,             0.37851,            0.047268,            0.039944,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.042169,            0.030976,                   0,             0.88532,             0.86359,             0.91287,             0.37651,            0.047462,            0.041182,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.039858,            0.032037,                   0,             0.91428,             0.88814,             0.93937,             0.41609,            0.040825,            0.039373,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.036596,            0.032725,                   0,             0.91149,             0.87797,             0.91523,             0.42255,            0.041549,            0.039482,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.039026,            0.028998,                   0,             0.91818,             0.87496,             0.91727,             0.40753,            0.040749,            0.039991,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.038689,            0.030814,                   0,             0.88926,             0.89828,              0.9161,             0.36369,            0.042498,            0.041317,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.039474,            0.030689,                   0,             0.88378,             0.90847,             0.92007,             0.36134,            0.042267,            0.040314,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.039176,             0.03193,                   0,             0.90927,             0.92542,             0.94824,             0.40091,            0.039519,              0.0398,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.034683,            0.029987,                   0,             0.92581,             0.90169,             0.93767,             0.40219,            0.039901,            0.039431,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.040453,            0.031078,                   0,             0.92784,             0.90508,             0.94371,             0.40186,            0.041998,            0.040297,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.039055,            0.028766,                   0,             0.92696,             0.91525,             0.93967,             0.42121,            0.041197,            0.039398,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.036685,            0.028425,                   0,             0.92985,             0.89868,              0.9439,             0.40558,            0.042912,            0.040786,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.039455,            0.028551,                   0,             0.92301,             0.89403,             0.93228,             0.41347,            0.042314,            0.039917,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.036272,            0.029768,                   0,             0.91142,             0.90508,             0.93317,             0.39109,            0.044642,            0.040377,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,             0.03827,            0.028748,                   0,             0.92657,             0.90169,             0.92749,             0.40756,            0.042447,            0.039928,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.038431,            0.028707,                   0,             0.92474,             0.91635,             0.93271,             0.41986,            0.042327,            0.040612,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.037604,            0.028415,                   0,             0.92386,             0.90847,             0.94872,             0.41411,            0.040127,            0.040788,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.037209,             0.03019,                   0,             0.90623,             0.91726,             0.95688,             0.40889,            0.040809,            0.041267,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.036855,            0.031195,                   0,             0.90375,             0.91525,             0.94314,             0.41183,            0.039179,            0.041179,                   0,            0.008713,            0.008713,            0.008713
